osmid,x,y,ref,highway
261770123,-74.1501071,41.1087489,,
261770124,-74.1490085,41.1087166,,
261770125,-74.1479356,41.1086842,,
261770175,-74.1452402,41.1116316,,
261770176,-74.1442871,41.1116273,,
261770177,-74.1432056,41.1116273,,
261770178,-74.1424846,41.1116273,,
261773230,-74.1378896,41.1114313,,
261773232,-74.1385008,41.1107379,,
261773233,-74.1398487,41.1091844,,
261773235,-74.1405277,41.1083809,,
261773256,-74.1511371,41.1129847,,
261773776,-74.1499698,41.1104044,,
261773778,-74.1488798,41.1103527,,
261773780,-74.1477983,41.110301,,
261773782,-74.1471862,41.1103462,,
261773786,-74.1465043,41.110408,,
261773788,-74.1454304,41.1104062,,
261773789,-74.1442871,41.1103986,,
261773790,-74.1432228,41.1103986,,
261774360,-74.144288,41.109595,,
261774361,-74.1426391,41.1095773,,
261775052,-74.1519783,41.1084902,,
261776171,-74.1480036,41.1078053,,
261776173,-74.1469393,41.1077601,,
261779385,-74.1553579,41.1102377,,
261779388,-74.1541563,41.1105351,,
261779390,-74.1529547,41.1108391,,
261779984,-74.1522594,41.1089895,,
261781473,-74.1428689,41.1059976,,
261781474,-74.1432066,41.1047463,,
261782803,-74.1526027,41.1097979,,
261782805,-74.1533151,41.1116733,,
261783569,-74.1425439,41.1077305,,
261783571,-74.140315,41.1065537,,
261783701,-74.145729,41.1127072,,
261783703,-74.145088,41.112695,,
261783705,-74.143188,41.112595,,
261785717,-74.1496542,41.1138216,,
261785718,-74.1466158,41.1141579,,
261785865,-74.138276,41.1093548,,
261785867,-74.1388533,41.1086743,,
261785869,-74.1399792,41.1074017,,
261786793,-74.1432522,41.1070328,,
261786821,-74.145154,41.1056129,,
261786824,-74.1437549,41.1060527,,
261786825,-74.1420465,41.1056004,,
261787795,-74.1538301,41.1095522,,
261787796,-74.1517187,41.1099725,,
261788396,-74.1486995,41.1122863,,
261788397,-74.1491201,41.107449,,
261788635,-74.1573492,41.1114922,,
261788637,-74.1561561,41.1118479,,
261788641,-74.1549717,41.11221,,
261788648,-74.1528774,41.1128373,,
261795016,-74.1389184,41.1119266,,
261796005,-74.1523882,41.1119449,,
261796007,-74.1519333,41.1110783,,
261796009,-74.1513839,41.1100695,,
261796011,-74.1502939,41.1080195,,
261796013,-74.1500127,41.1075007,,
261796142,-74.1520555,41.1129071,,
261796144,-74.14974,41.1130262,,
261796145,-74.1470363,41.1130262,,
261796722,-74.1419269,41.1084191,,
261796728,-74.1385551,41.1066479,,
261797732,-74.1464586,41.1097196,,
261797733,-74.1466045,41.1094092,,
261797738,-74.1465444,41.1070293,,
261797810,-74.1426649,41.1086033,,
261798997,-74.147867,41.1094732,,
261800047,-74.1381047,41.1101374,,
261800860,-74.1567741,41.1106321,,
261800861,-74.1556841,41.1109619,,
261800862,-74.1544996,41.1113176,,
261800863,-74.1527487,41.1118479,,
261801492,-74.1370352,41.1077851,,
261802783,-74.140859,41.1096861,,
261802786,-74.1379568,41.1082222,,
261804199,-74.1492765,41.1149209,,traffic_signals
261804311,-74.1499784,41.1103074,,
261805202,-74.1417735,41.1066947,,
261806309,-74.1497982,41.1124091,,
261806311,-74.1498754,41.1115103,,
261809252,-74.1394643,41.1112454,,
261810335,-74.1440233,41.1051069,,
261810558,-74.1474199,41.1067188,,
261812264,-74.1386795,41.1073826,,
261812675,-74.1467531,41.1134272,,
261815059,-74.1478584,41.1122604,,
361330171,-74.1495683,41.1147075,,
361330388,-74.1497314,41.1131103,,
362737875,-74.1512659,41.108639,,
362737985,-74.1518838,41.1083091,,
362738575,-74.1498067,41.1123186,,
444089542,-74.146488,41.105995,,
480020441,-74.1442613,41.1087754,,
480020601,-74.1441326,41.1131987,,
480020606,-74.143188,41.1131858,,
488044346,-74.1374995,41.1099176,,
488044415,-74.1373622,41.1089171,,
1337816965,-74.1401409,41.1105049,,
1337816971,-74.1410399,41.1094703,,
4048879655,-74.1416064,41.1088064,,
