u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
183144893,2032542465,0,False,residential,Northeast Railroad Avenue,99.126,,,,,,,,,,,17709452,
183144893,183225063,0,False,residential,Northeast Railroad Avenue,34.53,,,,,,,,,,,17709452,
183144893,183144904,0,False,residential,,26.054,,,,,,,,,,,17677838,
183144904,183144893,0,False,residential,,26.054,,,,,,,,,,,17677838,
183168793,183439867,0,False,residential,Chestnut Tree Road,86.438,,,,,,,,,,,17706361,
183168793,183438055,0,False,residential,Levin Dashiell Road,181.598,,,,,,,,,,,17703249,
183168793,183438048,0,False,residential,Levin Dashiell Road,60.707,,,,,,,,,,,17703249,
183186713,183426159,0,False,residential,Smith Street,99.562,,,,,,,,,,,17703717,
183186713,2179082796,0,False,residential,Bradley Street,186.844,,,,,,,,,,,17708527,
183186713,183423240,0,False,residential,"['Gordy Street', 'Bradley Street']",235.024,,,,,,,,,,,"[17702172, 17708527]",
183225060,183225063,0,False,residential,,67.049,,,,,,,,,,,17683986,
183225060,183441952,0,False,residential,East Church Street,86.292,,,,,,,,,,,17703496,
183225060,183441950,0,False,residential,East Church Street,137.137,,,,,,,,,,,17703496,
183225063,2032542465,0,False,residential,,133.648,,,,,,,,,,,17683986,
183225063,183225060,0,False,residential,,67.049,,,,,,,,,,,17683986,
183225063,183144893,0,False,residential,Northeast Railroad Avenue,34.53,,,,,,,,,,,17709452,
183225063,183462051,0,False,residential,Northeast Railroad Avenue,87.504,,,,,,,,,,,17709452,
183239144,2179082796,0,False,residential,,63.245,,,,,,,,,,,17685131,
183248112,183248126,0,False,residential,,100.099,,,,,,,,,,,17685878,
183248112,183312777,0,False,secondary,Main Street,104.631,,,,,,,,,,,"[17705176, 17705172]",MD 347
183248112,183462074,0,False,secondary,Main Street,65.562,,,,,,,,,,,17705176,MD 347
183248126,183456258,0,False,residential,Conway Street,62.975,,,,,,,,,,,17704589,
183248126,183248112,0,False,residential,,100.099,,,,,,,,,,,17685878,
183248126,183248184,0,False,residential,,147.267,,,,,,,,,,,207653927,
183248184,183248126,0,False,residential,,147.267,,,,,,,,,,,207653927,
183312777,183312843,0,False,secondary,Main Street,92.894,,,,,,,,,,,17705172,MD 347
183312777,183312843,1,False,residential,,298.667,,,,,,,,,,,17691609,
183312777,183248112,0,False,secondary,Main Street,104.631,,,,,,,,,,,"[17705176, 17705172]",MD 347
183312843,183312777,0,False,secondary,Main Street,92.894,,,,,,,,,,,17705172,MD 347
183312843,183312777,1,False,residential,,298.667,,,,,,,,,,,17691609,
183312843,183439884,0,False,residential,Chestnut Street,149.348,,,,,,,,,,,17703351,
183312843,183437436,0,False,secondary,Main Street,107.287,,,,,,,,,,,17705172,MD 347
183401747,183401751,0,False,residential,Downing Street,145.969,,,,,,,,,,,17700351,
183401747,183438055,0,False,residential,Chestnut Street,129.622,,,,,,,,,,,17703351,
183401747,183439867,0,False,residential,Chestnut Street,74.063,,,,,,,,,,,17703351,
183401751,183401747,0,False,residential,Downing Street,145.969,,,,,,,,,,,17700351,
183401751,183505595,0,False,residential,East Walnut Street,182.971,,,,,,,,,,,17708750,
183401751,183476420,0,False,residential,East Walnut Street,162.82,,,,,,,,,,,17708750,
183407920,183499813,0,False,residential,Trina Street,50.476,,,,,,,,,,,17708283,
183407920,183477068,0,False,residential,Trina Street,33.6,,,,,,,,,,,17708283,
183407920,183407952,0,False,residential,Terra Lane,144.872,,,,,,,,,,,17700852,
183407952,183407956,0,False,residential,Terra Lane,41.502,,,,,,,,,,,17700852,
183407952,183407920,0,False,residential,Terra Lane,144.872,,,,,,,,,,,17700852,
183407952,183471649,0,False,residential,Barbara Avenue,146.398,,,,,,,,,,,17705988,
183407956,183407952,0,False,residential,Terra Lane,41.502,,,,,,,,,,,17700852,
183416978,183505595,0,False,residential,East Walnut Street,68.858,,,,,,,,,,,17708750,
183416978,183416987,0,False,residential,Wilson Street,82.086,,,,,,,,,,,17701640,
183416978,183425269,0,False,residential,East Walnut Street,33.476,,,,,,,,,,,17708750,
183416987,2032542465,0,False,residential,Northeast Railroad Avenue,54.035,,,,,,,,,,,17709452,
183416987,183416996,0,False,residential,Wilson Street,69.017,,,,,,,,,,,17701640,
183416987,183416978,0,False,residential,Wilson Street,82.086,,,,,,,,,,,17701640,
183416996,183441950,0,False,residential,East Church Street,52.129,,,,,,,,,,,17703496,
183416996,183416987,0,False,residential,Wilson Street,69.017,,,,,,,,,,,17701640,
183416996,183423236,0,False,residential,East Church Street,86.025,,,,,,,,,,,17703496,
183423236,183423240,0,False,residential,Gordy Street,105.018,,,,,,,,,,,17702172,
183423236,183416996,0,False,residential,East Church Street,86.025,,,,,,,,,,,17703496,
183423240,183423236,0,False,residential,Gordy Street,105.018,,,,,,,,,,,17702172,
183423240,183186713,0,False,residential,"['Gordy Street', 'Bradley Street']",235.024,,,,,,,,,,,"[17702172, 17708527]",
183423240,183426159,0,False,secondary,East Lillian Street,140.249,,,,,,,,,,,17702363,MD 670
183423240,183426207,0,False,secondary,East Lillian Street,422.506,,,,,,,,,,,"[17702363, 17702373]",MD 670
183423660,2178811534,0,False,secondary,North Main Street,172.547,,,,,,,,,,,"[17706728, 17706731]",MD 347
183425227,183426218,0,False,secondary,East Lillian Street,42.621,,,,,,,,,,,17702373,MD 670
183425263,183425269,0,False,residential,Howard Street,125.201,,,,,,,,,,,17702309,
183425263,183439880,0,False,residential,Chestnut Street,103.183,,,,,,,,,,,17703351,
183425263,183439884,0,False,residential,Chestnut Street,80.055,,,,,,,,,,,17703351,
183425269,183425263,0,False,residential,Howard Street,125.201,,,,,,,,,,,17702309,
183425269,183505601,0,False,residential,East Walnut Street,80.653,,,,,,,,,,,17708750,
183425269,183416978,0,False,residential,East Walnut Street,33.476,,,,,,,,,,,17708750,
183426159,183441950,0,False,residential,Smith Street,107.034,,,,,,,,,,,17703717,
183426159,2179082790,0,False,secondary,East Lillian Street,212.685,,,,,,,,,,,17702363,MD 670
183426159,183423240,0,False,secondary,East Lillian Street,140.249,,,,,,,,,,,17702363,MD 670
183426159,183186713,0,False,residential,Smith Street,99.562,,,,,,,,,,,17703717,
183426207,183477068,0,False,residential,Trina Street,102.289,,,,,,,,,,,17708283,
183426207,183426218,0,False,secondary,East Lillian Street,100.739,,,,,,,,,,,17702373,MD 670
183426207,183423240,0,False,secondary,East Lillian Street,422.506,,,,,,,,,,,"[17702363, 17702373]",MD 670
183426218,183425227,0,False,secondary,East Lillian Street,42.621,,,,,,,,,,,17702373,MD 670
183426218,183426207,0,False,secondary,East Lillian Street,100.739,,,,,,,,,,,17702373,MD 670
183427545,183438048,0,False,residential,Levin Dashiell Road,125.519,,,,,,,,,,,17703249,
183437436,183462043,0,False,secondary,Main Street,63.38,,,,,,,,,,,17705172,MD 347
183437436,183462043,1,False,residential,"['Bounds Street', 'Southwest Railroad Avenue', 'West Walnut Street']",357.946,,,,,,,,,,,"[17710401, 17702937, 17703196]",
183437436,183312843,0,False,secondary,Main Street,107.287,,,,,,,,,,,17705172,MD 347
183437436,183505601,0,False,residential,East Walnut Street,154.784,,,,,,,,,,,17708750,
183438048,183168793,0,False,residential,Levin Dashiell Road,60.707,,,,,,,,,,,17703249,
183438048,183427545,0,False,residential,Levin Dashiell Road,125.519,,,,,,,,,,,17703249,
183438055,183439880,0,False,residential,Chestnut Street,56.597,,,,,,,,,,,17703351,
183438055,183168793,0,False,residential,Levin Dashiell Road,181.598,,,,,,,,,,,17703249,
183438055,183401747,0,False,residential,Chestnut Street,129.622,,,,,,,,,,,17703351,
183439867,183476420,0,False,residential,Chestnut Tree Road,174.292,,,,,,,,,,,17706361,
183439867,183168793,0,False,residential,Chestnut Tree Road,86.438,,,,,,,,,,,17706361,
183439867,183401747,0,False,residential,Chestnut Street,74.063,,,,,,,,,,,17703351,
183439880,183425263,0,False,residential,Chestnut Street,103.183,,,,,,,,,,,17703351,
183439880,183438055,0,False,residential,Chestnut Street,56.597,,,,,,,,,,,17703351,
183439880,183505595,0,False,residential,Elm Street,133.01,,,,,,,,,,,17711796,
183439884,183505601,0,False,residential,Grove Street,119.372,,,,,,,,,,,17708985,
183439884,183312843,0,False,residential,Chestnut Street,149.348,,,,,,,,,,,17703351,
183439884,183425263,0,False,residential,Chestnut Street,80.055,,,,,,,,,,,17703351,
183441950,183225060,0,False,residential,East Church Street,137.137,,,,,,,,,,,17703496,
183441950,183416996,0,False,residential,East Church Street,52.129,,,,,,,,,,,17703496,
183441950,183426159,0,False,residential,Smith Street,107.034,,,,,,,,,,,17703717,
183441952,183225060,0,False,residential,East Church Street,86.292,,,,,,,,,,,17703496,
183441952,183462051,0,False,secondary,Main Street,64.711,,,,,,,,,,,17705172,MD 347
183441952,2179082790,0,False,secondary,North Main Street,110.259,,,,,,,,,,,17706728,MD 347
183441952,183497018,0,False,residential,West Church Street,153.066,,,,,,,,,,,17710394,
183456258,183456263,0,False,residential,Conway Street,39.388,,,,,,,,,,,17704589,
183456258,183248126,0,False,residential,Conway Street,62.975,,,,,,,,,,,17704589,
183456258,183462074,0,False,residential,Phillips Avenue,101.701,,,,,,,,,,,17707582,
183456263,183456258,0,False,residential,Conway Street,39.388,,,,,,,,,,,17704589,
183456263,183456283,0,False,residential,Conway Street,122.452,,,,,,,,,,,17704589,
183456263,183462072,0,False,residential,Maryland Avenue,101.358,,,,,,,,,,,17709708,
183456283,183456263,0,False,residential,Conway Street,122.452,,,,,,,,,,,17704589,
183462043,183437436,0,False,secondary,Main Street,63.38,,,,,,,,,,,17705172,MD 347
183462043,183437436,1,False,residential,"['West Walnut Street', 'Southwest Railroad Avenue', 'Bounds Street']",357.946,,,,,,,,,,,"[17710401, 17703196, 17702937]",
183462043,183462051,0,False,secondary,Main Street,24.231,,,,,,,,,,,17705172,MD 347
183462043,183545374,0,False,residential,Southeast Railroad Avenue,162.182,,,,,,,,,,,17711586,
183462051,183441952,0,False,secondary,Main Street,64.711,,,,,,,,,,,17705172,MD 347
183462051,183225063,0,False,residential,Northeast Railroad Avenue,87.504,,,,,,,,,,,17709452,
