u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212027897,212027906,0,False,residential,Wamsley Road,198.052,,,,,,,,,,,20070803,
212027897,212101127,0,False,unclassified,Trout Brook Road,248.465,,,,,,,,,,,20087636,CR 24B
212027897,212160511,0,False,unclassified,Trout Brook Road,1820.618,,,,,,,,,,,20087636,CR 24B
212027906,212027927,0,False,residential,Wamsley Road,359.869,,,,,,,,,,,20070803,
212027906,212027897,0,False,residential,Wamsley Road,198.052,,,,,,,,,,,20070803,
212027906,212101127,0,False,residential,Adirondack Park,187.612,,,,,,,,,,,20077288,
212027927,212027906,0,False,residential,Wamsley Road,359.869,,,,,,,,,,,20070803,
212027927,212075217,0,False,residential,Nurses Road,302.254,,,,,,,,,,,20075464,
212028268,212028833,0,False,unclassified,Elk Lake Road,8303.483,,,,,,,,,,,20070830,
212028268,212235794,0,False,tertiary,Blue Ridge Road,1966.148,,,,,,,,,,,233692750,CR 84
212028268,212124013,0,False,tertiary,Blue Ridge Road,1547.028,,,,,,,,,,,233692750,CR 84
212028833,212028268,0,False,unclassified,Elk Lake Road,8303.483,,,,,,,,,,,20070830,
212029108,212029114,0,False,residential,,69.734,,,,,,,,,,,20070852,
212029108,212304432,0,False,residential,"['Shore Way', 'Minerva Lake Road']",172.217,,,,,,,,,,,"[20084777, 20088743]",
212029108,212054324,0,False,residential,Minerva Lake Road,77.242,,,,,,,,,,,20084777,
212029114,212029116,0,False,residential,,30.13,,,,,,,,,,,20070852,
212029114,212029144,0,False,residential,,71.649,,,,,,,,,,,20070855,
212029114,212029108,0,False,residential,,69.734,,,,,,,,,,,20070852,
212029116,212029114,0,False,residential,,30.13,,,,,,,,,,,20070852,
212029144,212029114,0,False,residential,,71.649,,,,,,,,,,,20070855,
212029609,212029609,0,False,residential,,170.766,,,,,,,,,,,20070888,
212029609,212029609,1,False,residential,,170.766,,,,,,,,,,,20070888,
212029609,212273544,0,False,residential,,51.748,,,,,,,,,,,20072833,
212029774,212029777,0,False,residential,,101.893,,,,,,,,,,,20070899,
212029777,212029774,0,False,residential,,101.893,,,,,,,,,,,20070899,
212029777,212147851,0,False,residential,Longs Hill Road,266.083,,,,,,,,,,,20089110,
212029777,212097265,0,False,residential,Longs Hill Road,474.119,,,,,,,,,,,20089110,
212029787,212029795,0,False,residential,,395.349,,,,,,,,,,,20070903,
212029795,212029787,0,False,residential,,395.349,,,,,,,,,,,20070903,
212029795,212054689,0,False,residential,Healy Road,613.703,,,,,,,,,,,20088777,
212029795,212054744,0,False,residential,Healy Road,397.838,,,,,,,,,,,20088777,
212029903,212029906,0,False,residential,,150.49,,,,,,,,,,,20070910,
212029906,212029903,0,False,residential,,150.49,,,,,,,,,,,20070910,
212029906,1568302492,0,False,secondary,State Highway 28N,508.066,2,,,55 mph,,,,,,,506522951,NY 28N
212029906,212125228,0,False,secondary,State Highway 28N,226.298,2,,,55 mph,,,,,,,506522951,NY 28N
212029997,212030003,0,False,residential,,252.86,,,,,,,,,,,20070919,
212029997,212197959,0,False,secondary,State Highway 28N,1136.556,2,,,55 mph,,,,,,,233692779,NY 28N
212029997,212273926,0,False,secondary,State Highway 28N,1216.614,2,,,55 mph,,,,,,,233692779,NY 28N
212030003,212029997,0,False,residential,,252.86,,,,,,,,,,,20070919,
212030011,212030021,0,False,residential,,98.13,,,,,,,,,,,20070920,
212030011,212279642,0,False,residential,Memory Lane,61.935,,,,,,,,,,,20087825,
212030011,212279607,0,False,residential,Memory Lane,404.078,,,,,,,,,,,20087825,
212030021,212030011,0,False,residential,,98.13,,,,,,,,,,,20070920,
212030093,212030105,0,False,residential,,413.717,,,,,,,,,,,20070931,
212030105,212030093,0,False,residential,,413.717,,,,,,,,,,,20070931,
212030105,212030210,0,False,residential,Ridge Street,872.396,,,,,,,,,,,20081734,
212030105,212178875,0,False,residential,Ridge Street,1265.818,,,,,,,,,,,20081734,
212030160,212030170,0,False,residential,,200.325,,,,,,,,,,,20070937,
212030170,212030160,0,False,residential,,200.325,,,,,,,,,,,20070937,
212030170,212156434,0,False,secondary,State Highway 28N,449.495,2,,,55 mph,,,,,,,506522951,NY 28N
212030170,212272356,0,False,secondary,State Highway 28N,210.075,2,,,55 mph,,,,,,,506522951,NY 28N
