u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
261363668,261363705,0,False,residential,Sands Point Road,43.274,,,,,,,,,,,24130103,
261363669,261363668,0,True,residential,Morewood Oaks,51.808,,,,,,,,,,,572073087,
261363669,261363675,0,False,residential,Morewood Oaks,251.343,,,,,,,,,,,24118607,
261363675,261363669,0,False,residential,Morewood Oaks,251.343,,,,,,,,,,,24118607,
261363675,261363695,0,False,residential,Morewood Oaks,370.265,,,,,,,,,,,24118608,
261363675,261363695,1,False,residential,Morewood Oaks Drive,75.472,,,,,,,,,,,24122001,
261363695,261363675,0,False,residential,Morewood Oaks,370.265,,,,,,,,,,,24118608,
261363695,261363675,1,False,residential,Morewood Oaks Drive,75.472,,,,,,,,,,,24122001,
261363695,261363698,0,False,residential,Morewood Oaks,161.225,,,,,,,,,,,24118609,
261363698,261363695,0,False,residential,Morewood Oaks,161.225,,,,,,,,,,,24118609,
261363705,261363668,0,False,residential,Sands Point Road,43.274,,,,,,,,,,,24130103,
261363705,261363669,0,True,residential,Morewood Oaks,59.729,,,,,,,,,,,24118610,
261363705,261456248,0,False,residential,Sands Point Road,429.119,,,,,,,,,,,24130103,
261363813,261363822,0,False,residential,Boat Lane,116.619,,,,,,,,,,,24118628,
261363813,261428523,0,False,residential,Fishermans Drive,218.101,,,,,,,,,,,24136625,
261363813,261413575,0,False,residential,Fishermans Drive,69.573,,,,,,,,,,,24136625,
261363822,261363827,0,False,residential,Boat Lane,102.98,,,,,,,,,,,24118628,
261363822,261363813,0,False,residential,Boat Lane,116.619,,,,,,,,,,,24118628,
261363822,261443870,0,False,residential,Dock Lane,165.018,,,,,,,,,,,24135846,
261363827,261363822,0,False,residential,Boat Lane,102.98,,,,,,,,,,,24118628,
261363827,261428523,0,False,residential,Seaview Lane,68.503,,,,,,,,,,,24126246,
261363827,261428516,0,False,residential,Seaview Lane,162.564,,,,,,,,,,,24126246,
261374757,261434613,0,False,residential,Radcliff Avenue,75.553,,,,,,,,,,,24127043,
261374757,261374759,0,False,residential,Poplar Place,102.761,,,,,,,,,,,24119916,
261374757,261434610,0,False,residential,Radcliff Avenue,76.6,,,,,,,,,,,24127043,
261374759,261437660,0,False,residential,Harbor Hills Drive,76.514,,,,,,,,,,,24129261,
261374759,261437660,1,False,residential,"['Sands Place', 'Harbor Hills Drive', 'Poplar Place']",548.844,,,,,,,,,,,"[24117184, 24119916, 24129261, 24127998]",
261374759,261450933,0,False,residential,Harbor Hills Drive,75.725,,,,,,,,,,,24129261,
261374759,261374757,0,False,residential,Poplar Place,102.761,,,,,,,,,,,24119916,
261374829,261374830,0,False,residential,Wildwood Gdns,63.435,,,,,,,,,,,24119927,
261374829,261443883,0,False,residential,Soundview Drive,177.628,,,,,,,,,,,24128217,
261374829,261443870,0,False,residential,Soundview Drive,195.53,,,,,,,,,,,24128217,
261374830,261374829,0,False,residential,Wildwood Gdns,63.435,,,,,,,,,,,24119927,
261376075,261387865,0,False,residential,Driftwood Drive,48.126,,,,,,,,,,,24121377,
261376075,261376080,0,False,residential,Sandy Court,88.661,,,,,,,,,,,24120061,
261376075,261387862,0,False,residential,Driftwood Drive,80.312,,,,,,,,,,,24121377,
261376080,261465566,0,False,residential,Seagull Lane,106.029,,,,,,,,,,,24136399,
261376080,261376084,0,False,residential,Sandy Court,76.906,,,,,,,,,,,24120061,
261376080,261376075,0,False,residential,Sandy Court,88.661,,,,,,,,,,,24120061,
261376084,261376088,0,False,residential,Sandy Court,77.063,,,,,,,,,,,24120061,
261376084,261376080,0,False,residential,Sandy Court,76.906,,,,,,,,,,,24120061,
261376084,261421913,0,False,residential,Angler Lane,347.123,,,,,,,,,,,24125562,
261376088,261443857,0,False,residential,Marlin Lane,346.146,,,,,,,,,,,24135770,
261376088,261376092,0,False,residential,Sandy Court,118.967,,,,,,,,,,,24120061,
261376088,261376084,0,False,residential,Sandy Court,77.063,,,,,,,,,,,24120061,
261376092,261434625,0,False,residential,Soundview Drive,38.631,,,,,,,,,,,24128217,
261376092,261376088,0,False,residential,Sandy Court,118.967,,,,,,,,,,,24120061,
261376092,261443857,0,False,residential,Soundview Drive,366.168,,,,,,,,,,,24128217,
261387849,261387862,0,False,residential,Driftwood Drive,329.74,,,,,,,,,,,24121377,
261387849,261434435,0,False,residential,Soundview Drive,54.385,,,,,,,,,,,24128217,
261387849,261443820,0,False,residential,Soundview Drive,95.697,,,,,,,,,,,24128217,
261387862,261376075,0,False,residential,Driftwood Drive,80.312,,,,,,,,,,,24121377,
261387862,261387849,0,False,residential,Driftwood Drive,329.74,,,,,,,,,,,24121377,
261387862,261428523,0,False,residential,Seaview Lane,122.624,,,,,,,,,,,24126246,
261387865,261387866,0,False,residential,Driftwood Drive,42.173,,,,,,,,,,,24121377,
261387865,261376075,0,False,residential,Driftwood Drive,48.126,,,,,,,,,,,24121377,
261387865,261443830,0,False,residential,Steamboat Drive,77.786,,,,,,,,,,,24132507,
261387866,261387865,0,False,residential,Driftwood Drive,42.173,,,,,,,,,,,24121377,
261387866,261444640,0,False,residential,Island Court,53.784,,,,,,,,,,,24128316,
261387866,261387881,0,False,residential,Driftwood Drive,237.38,,,,,,,,,,,24121377,
261387881,261387866,0,False,residential,Driftwood Drive,237.38,,,,,,,,,,,24121377,
261387881,261443850,0,False,residential,Schooner Lane,115.289,,,,,,,,,,,24131369,
261387881,261465566,0,False,residential,Schooner Lane,132.095,,,,,,,,,,,24131369,
261390863,443242235,0,False,tertiary,Cow Neck Road,146.641,2,,,,,,,,,,24137176,
261398485,261398486,0,False,residential,Fairfield Avenue,164.299,,,,,,,,,,,24122567,
261398485,261416382,0,False,residential,Rockwood Avenue,75.995,,,,,,,,,,,24135357,
261398485,443242080,0,False,residential,Rockwood Avenue,76.581,,,,,,,,,,,24135357,
