osmid,x,y,ref,highway
213349550,-73.4417889,40.8026598,,
213373977,-73.414336,40.801773,,
213373980,-73.413995,40.802669,,
213399979,-73.423989,40.816444,,
213399993,-73.426384,40.818737,,
213430400,-73.4145394,40.7955373,,
213443313,-73.451265,40.820759,,
213443323,-73.449388,40.820747,,
213443331,-73.449198,40.820137,,
213451370,-73.449082,40.823199,,
213451394,-73.44639,40.822619,,
213451420,-73.445023,40.823665,,
213451454,-73.443132,40.825947,,
213451468,-73.441171,40.827166,,
213451520,-73.44101,40.829513,,
213451544,-73.439347,40.830009,,
213451844,-73.4432003,40.8374417,,
213451846,-73.443339,40.8372651,,
213451871,-73.445558,40.834713,,
213452469,-73.444169,40.812267,,
213452484,-73.442217,40.807419,,
213452496,-73.442071,40.804123,,
213452499,-73.442056,40.804054,,
213452616,-73.4442749,40.8172333,,
213452633,-73.44401,40.813949,,
213452639,-73.443971,40.813125,,
213452647,-73.445435,40.821255,,traffic_signals
213452650,-73.444894,40.820671,,
213452659,-73.443597,40.819626,,
213452669,-73.442826,40.819099,,
213459349,-73.449235,40.832207,,
213459352,-73.447802,40.832969,,
213459362,-73.445268,40.833893,,
213459369,-73.444155,40.834434,,
213459377,-73.443261,40.834864,,
213473454,-73.421814,40.822552,,
213473479,-73.428103,40.821431,,
213474108,-73.44307,40.821941,,
213474111,-73.443743,40.820945,,turning_circle
213475374,-73.437982,40.831852,,
213475377,-73.43776,40.830921,,
213475380,-73.437614,40.830249,,
213475383,-73.437454,40.829571,,
213475386,-73.437302,40.828895,,
213475388,-73.43715,40.82822,,
213475392,-73.436989,40.827511,,
213478604,-73.412484,40.802048,,
213487490,-73.439912,40.83155,,
213490241,-73.42109,40.828677,,traffic_signals
213490244,-73.421967,40.8287,,
213490247,-73.427094,40.828747,,traffic_signals
213490254,-73.430603,40.828357,,traffic_signals
213490256,-73.432184,40.828144,,
213490260,-73.434106,40.827881,,traffic_signals
213490263,-73.434311,40.827865,,traffic_signals
213490266,-73.438188,40.827358,,traffic_signals
213490275,-73.440522,40.826728,,
213490297,-73.443391,40.824306,,
213490303,-73.444566,40.822506,,
213496515,-73.438508,40.826389,,
213496526,-73.442368,40.823917,,
213496532,-73.443566,40.822128,,
213510311,-73.431795,40.830021,,
213510327,-73.429521,40.830264,,
213510330,-73.42833,40.830387,,
213510788,-73.451493,40.826717,,
213510802,-73.452347,40.827076,,
213520278,-73.444573,40.832462,,
213523313,-73.446809,40.808677,,
213526355,-73.448853,40.83432,,
213526379,-73.445984,40.835003,,
213526599,-73.440637,40.82326,,
213526605,-73.441828,40.821472,,
213526612,-73.441941,40.821506,,
213527425,-73.431733,40.829619,,
213527428,-73.434631,40.829242,,
213527431,-73.438783,40.828708,,
213528129,-73.427384,40.830882,,
213528133,-73.428361,40.830787,,
213532137,-73.412721,40.811748,,
213532151,-73.411903,40.810409,,
213532193,-73.413506,40.808928,,
213532866,-73.42936,40.838385,,
213533758,-73.420967,40.825728,,
213540748,-73.431168,40.846614,,traffic_signals
213540751,-73.430969,40.845943,,
213540754,-73.430718,40.845138,,
213540761,-73.4298138,40.8414322,,traffic_signals
213540785,-73.428092,40.833763,,
213540787,-73.427818,40.832812,,
213540790,-73.427575,40.831961,,traffic_signals
213540793,-73.427307,40.830292,,
213540795,-73.427208,40.829577,,
213552583,-73.447588,40.807243,,turning_circle
213560642,-73.43374,40.815803,,
213560670,-73.434418,40.813175,,
213560676,-73.434061,40.812687,,
213560704,-73.4336204,40.807629,,
213578091,-73.436013,40.822658,,
213578105,-73.437348,40.822243,,
213578128,-73.439066,40.822262,,
213582203,-73.442169,40.83062,,
213582993,-73.439767,40.822937,,
213582997,-73.440392,40.821998,,
213584302,-73.412414,40.803963,,
213584306,-73.413262,40.804115,,
213588424,-73.4437102,40.8375395,,
213588445,-73.441254,40.8350253,,
213588466,-73.439599,40.830684,,
213588472,-73.439051,40.829357,,
213588476,-73.4385,40.828041,,
213588612,-73.446289,40.821888,,
213592968,-73.4469,40.819468,,
213592971,-73.44667,40.818657,,
213600797,-73.412148,40.814419,,
213600803,-73.412896,40.814235,,
213600840,-73.41372,40.812548,,
213608205,-73.431992,40.831524,,
213608208,-73.432015,40.830978,,
213608210,-73.43197,40.830772,,
213608217,-73.431878,40.830307,,
213608223,-73.431893,40.828907,,
213619667,-73.437188,40.826351,,
213619695,-73.436028,40.824253,,
213619698,-73.436212,40.823803,,
213619714,-73.435533,40.822246,,
213619718,-73.434158,40.821174,,
213639571,-73.431151,40.822435,,
213639584,-73.432143,40.821428,,
213644915,-73.411713,40.811904,,
213644935,-73.412407,40.813125,,
213644955,-73.41365,40.815216,,
213644976,-73.414475,40.816425,,
213649110,-73.410678,40.81209,,
213649124,-73.411495,40.813671,,
213661454,-73.410881,40.807342,,
213661504,-73.413505,40.810099,,
213661510,-73.414238,40.811558,,
213670539,-73.436607,40.821251,,
213671877,-73.447373,40.81552,,
213671880,-73.446557,40.815475,,
213677828,-73.411415,40.811953,,
213694815,-73.437111,40.832092,,
213694822,-73.436882,40.831034,,
213699981,-73.442574,40.82175,,
213699986,-73.440362,40.82064,,
213702079,-73.43692,40.820232,,
213702082,-73.438752,40.8189,,turning_circle
213715524,-73.441858,40.820742,,turning_circle
213715893,-73.444055,40.826374,,
213731724,-73.432749,40.823554,,
213746002,-73.434083,40.832641,,
213746020,-73.432335,40.832935,,
213746941,-73.45125,40.826941,,
213751190,-73.431007,40.824264,,
213751202,-73.429216,40.822413,,
213751233,-73.426269,40.818985,,
213751400,-73.421388,40.79842,,
213753390,-73.434182,40.831737,,
213753409,-73.434052,40.830715,,
213753412,-73.434288,40.831755,,
213777414,-73.449082,40.825222,,
213784190,-73.4329,40.834938,,
213784216,-73.433778,40.833713,,turning_circle
213838577,-73.433343,40.831634,,
213838578,-73.433158,40.830829,,
213847583,-73.441857,40.838749,,
213847594,-73.4413137,40.8379469,,
213848790,-73.444239,40.821152,,
213848800,-73.443018,40.82035,,turning_circle
213850074,-73.448809,40.811786,,
213850099,-73.447465,40.811622,,turning_circle
213858893,-73.447059,40.842178,,
213858903,-73.44851,40.841263,,
213858912,-73.4497055,40.8402019,,traffic_signals
213858937,-73.4517481,40.837737,,traffic_signals
213859044,-73.435234,40.831905,,
213859047,-73.435098,40.831272,,
213859050,-73.434937,40.830588,,
213859056,-73.43477,40.829918,,
213859059,-73.434472,40.828567,,
213862289,-73.439073,40.824753,,
213863707,-73.429787,40.831711,,
213863711,-73.429658,40.831024,,
213865810,-73.447816,40.840857,,
213865820,-73.447107,40.841335,,
213865868,-73.449067,40.839446,,
213867083,-73.451852,40.832938,,
213867163,-73.452653,40.829872,,
213869905,-73.417518,40.816028,,
213878867,-73.444061,40.807251,,
213878874,-73.444421,40.807525,,turning_circle
213880780,-73.444612,40.804771,,
213884458,-73.414651,40.801845,,
