u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212722102,212794818,0,False,secondary,South Salina Street,109.817,4,,,30 mph,,,,,,,326466949,
212722102,212887969,0,False,unclassified,Tallman Street,87.591,2,,,,,,,,,,20134206,
212722102,212794816,0,False,secondary,South Salina Street,168.908,4,,,30 mph,,,,,,,326466949,
212753831,212777891,0,False,residential,Linden Street,198.385,,,,,,,,,,,20124112,
212753831,212787816,0,False,residential,New Street,62.219,,,,,,,,,,,20137215,
212753831,212794810,0,False,residential,New Street,79.364,,,,,,,,,,,20137215,
212755482,3247097164,0,False,residential,South McBride Street,101.399,,,,,,,,,,,20126951,
212755482,428986437,0,False,residential,East Raynor Avenue,21.193,,,,,,,,,,,20130911,
212755482,212854386,0,False,residential,East Raynor Avenue,146.803,,,,,,,,,,,20130911,
212770867,212770868,0,False,residential,Jackson Street,50.539,,,,,,,,,,,20123419,
212770868,212950237,0,False,residential,Radisson Court,58.425,,,,,,,,,,,20138989,
212770868,212770870,0,False,residential,Jackson Street,70.02,,,,,,,,,,,20123419,
212770868,212770867,0,False,residential,Jackson Street,50.539,,,,,,,,,,,20123419,
212770868,1700557919,0,False,residential,Deblon Court,126.03,,,,,,,,,,,157803948,
212770870,212810686,0,False,residential,South McBride Street,100.403,,,,,,,,,,,20126951,
212770870,212770871,0,False,residential,Jackson Street,71.486,,,,,,,,,,,20123419,
212770870,212770868,0,False,residential,Jackson Street,70.02,,,,,,,,,,,20123419,
212770870,212810676,0,False,residential,South McBride Street,143.974,,,,,,,,,,,20126951,
212770871,212770870,0,False,residential,Jackson Street,71.486,,,,,,,,,,,20123419,
212770871,1691995323,0,False,residential,Stewart Court,116.607,,,,,,,,,,,156961565,
212777891,212753831,0,False,residential,Linden Street,198.385,,,,,,,,,,,20124112,
212778532,212794816,0,False,secondary,South Salina Street,27.504,4,,,30 mph,,,,,,,326466949,
212778532,212778535,0,False,unclassified,Burt Street,96.814,,,,,,,,,,,20124182,
212778532,212794815,0,False,secondary,South Salina Street,117.118,4,,,30 mph,,,,,,,226638072,
212778535,212778537,0,False,unclassified,Burt Street,108.642,,,,,,,,,,,20124182,
212778535,212778532,0,False,unclassified,Burt Street,96.814,,,,,,,,,,,20124182,
212778535,212787825,0,False,residential,Montgomery Street,305.784,,,,,,,,,,,20125063,
212778535,212787820,0,False,residential,Montgomery Street,119.058,,,,,,,,,,,20125063,
212778537,212778538,0,False,unclassified,Burt Street,145.912,,,,,,,,,,,20124182,
212778537,212778535,0,False,unclassified,Burt Street,108.642,,,,,,,,,,,20124182,
