u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
102551047,102551048,0,False,residential,Wells Avenue,191.281,,,,,,,,,,,11501038,
102551047,473091843,0,False,residential,Adams Street,111.797,,,,,,,,,,,11505360,
102551047,102575299,0,False,residential,Adams Street,95.669,,,,,,,,,,,11505360,
102551048,102551049,0,False,residential,Wells Avenue,68.422,,,,,,,,,,,11501038,
102551048,102551047,0,False,residential,Wells Avenue,191.281,,,,,,,,,,,11501038,
102551048,102584696,0,False,residential,Jefferson Street,112.901,,,,,,,,,,,11507195,
102551048,102584695,0,False,residential,Jefferson Street,62.89,,,,,,,,,,,11507195,
102551049,102551050,0,False,residential,Wells Avenue,81.42,,,,,,,,,,,11501038,
102551049,102551048,0,False,residential,Wells Avenue,68.422,,,,,,,,,,,11501038,
102551049,102579724,0,False,residential,Roosevelt Court,70.499,,,,,,,,,,,11506196,
102551050,102551049,0,False,residential,Wells Avenue,81.42,,,,,,,,,,,11501038,
102551050,102586273,0,False,residential,President Street,62.582,,,,,,,,,,,11507552,
102551050,102586276,0,False,residential,President Street,121.167,,,,,,,,,,,11507552,
102551167,102633021,0,False,residential,Van Buren Street,62.339,,,,,,,,,,,11518506,
102551167,102586280,0,False,residential,Van Buren Street,62.725,,,,,,,,,,,11518506,
102551167,102551170,0,False,residential,McKinley Street,195.416,,,,,,,,,,,11501060,
102551170,102633021,0,False,residential,Grant Street,160.571,,,,,,,,,,,11515213,
102551170,102551171,0,False,residential,McKinley Street,216.85,,,,,,,,,,,11501060,
102551170,102551167,0,False,residential,McKinley Street,195.416,,,,,,,,,,,11501060,
102551171,102626497,0,False,residential,Van Buren Drive,94.231,,,,,,,,,,,11514252,
102551171,102551170,0,False,residential,McKinley Street,216.85,,,,,,,,,,,11501060,
102551171,102626736,0,False,residential,Van Buren Drive,69.247,,,,,,,,,,,11514252,
102565935,102614222,0,False,residential,Danielle Court,71.49,,,,,,,,,,,11512211,
102569430,102569431,0,False,residential,Van Buren Circle,42.421,,,,,,,,,,,11504332,
102569430,102626494,0,False,residential,Van Buren Drive,24.265,,,,,,,,,,,11514252,
102569430,102626497,0,False,residential,Van Buren Drive,173.654,,,,,,,,,,,11514252,
